objectid,park_name,court_number,comments,data_source,lat,lng
611,Gustine Recreation Center,0,Operated by Legacy Youth and Tennis,Property 2024,40.01243080100219,-75.20298510507584
612,Gustine Recreation Center,0,Operated by Legacy Youth and Tennis,Property 2024,40.01238285274289,-75.20281173811303
613,Gustine Recreation Center,0,Operated by Legacy Youth and Tennis,Property 2024,40.01229028799767,-75.20245402940924
614,Gustine Recreation Center,0,Operated by Legacy Youth and Tennis,Property 2024,40.01204981893006,-75.20295134541763
615,Gustine Recreation Center,0,Operated by Legacy Youth and Tennis,Property 2024,40.011997175203405,-75.20278125608091
616,Gustine Recreation Center,0,Operated by Legacy Youth and Tennis,Property 2024,40.01194922663556,-75.20260789036904
617,Happy Hollow Recreation Center,1, ,2024 December Site Visits,40.023315108727985,-75.1663598760521
618,Officer Robert Hayes Memorial Playground,3, ,Nearmap 2023,40.091427076438976,-75.02169305552596
619,Samuel F Houston Playground,1, ,Nearmap 2023,40.069831702525015,-75.23194996744361
620,Hunting Park,2, ,Nearmap 2023,40.01514598656549,-75.1417200930312
621,Hunting Park,3, ,Nearmap 2023,40.01483950397843,-75.14195510241991
622,Hunting Park,4, ,Nearmap 2023,40.01482284167146,-75.14178831726791
623,Hunting Park,5, ,Nearmap 2023,40.014513584199406,-75.14202715117865
624,Hunting Park,6, ,Nearmap 2023,40.01449532447252,-75.14185298832241
625,J Francis Finnegan Playground,2, ,Nearmap 2023,39.91407503587538,-75.23213910997848
626,J Francis Finnegan Playground,4, ,Nearmap 2023,39.914246954984925,-75.23189127285795
627,J Francis Finnegan Playground,5, ,Nearmap 2023,39.914328666693706,-75.23176936862835
628,J Francis Finnegan Playground,1, ,Nearmap 2023,39.913985646908756,-75.2322588217833
629,Thomas E Jardel Memorial Field,1, ,Nearmap 2023,40.05654729917102,-75.07703512184875
630,Thomas E Jardel Memorial Field,3, ,Nearmap 2023,40.05675264470384,-75.0768439878323
631,Thomas E Jardel Memorial Field,4, ,Nearmap 2023,40.05685535341314,-75.07674997028488
632,Jim Junod Recreation Center,2,Field Lights,2024 September Site Visits,40.103538950190874,-74.96962764970718
633,Jim Junod Recreation Center,3,Field Lights,2024 September Site Visits,40.10319135340107,-74.96972635326293
634,Jim Junod Recreation Center,4,Field Lights,2024 September Site Visits,40.10320745931763,-74.9695642489683
635,Kingsessing Recreation Center,2, ,Nearmap 2023,39.94237151097521,-75.21847928310152
636,William A Lackman Memorial Playground,2,Renovated April 2023,"Nearmap 2023, Capital 2023",40.1000861505002,-75.03327693451024
637,Lawncrest Recreation Center,1, ,Nearmap 2023,40.04638359978834,-75.10096042612172
638,John A Lee Cultural Center,0, ,Nearmap 2023,39.96091512132058,-75.2105731540011
639,Joseph E Mander Playground,9, ,Nearmap 2023,39.99086856682514,-75.18819688552178
640,Joseph E Mander Playground,5, ,Nearmap 2023,39.991194752839924,-75.1879862229023
641,Joseph E Mander Playground,4, ,Nearmap 2023,39.991077656181126,-75.18786666845942
642,Joseph E Mander Playground,3, ,Nearmap 2023,39.99096142888219,-75.18774336127767
643,Joseph E Mander Playground,8, ,Nearmap 2023,39.990755198200006,-75.18807347149202
644,Joseph E Mander Playground,2, ,Nearmap 2023,39.990846209228444,-75.18762249632627
645,Joseph E Mander Playground,7, ,Nearmap 2023,39.990639081708885,-75.18795511885236
646,Joseph E Mander Playground,1, ,Nearmap 2023,39.99072998169249,-75.1874991911529
647,Joseph E Mander Playground,6, ,Nearmap 2023,39.99052201175669,-75.18783680375793
648,William H (Billy) Markward Memorial Playground,2, ,Nearmap 2023,39.94792184183223,-75.18283222686637
649,Max Myers Playground,3, ,Nearmap 2023,40.03899885721689,-75.07141886880993
650,Max Myers Playground,2, ,Nearmap 2023,40.038916788100785,-75.07127323050582
651,Max Myers Playground,1, ,Nearmap 2023,40.03883345554042,-75.07112454061071
652,Frank McArdle Memorial Recreation Center,3, ,Nearmap 2023,40.0608404837869,-75.02746827945971
653,Frank McArdle Memorial Recreation Center,1, ,Nearmap 2023,40.06069353200081,-75.02720269344947
654,Harry S McDevitt Playground,2, ,Nearmap 2023,40.008973103342186,-75.18701067632243
655,Thomas Mitchell Playground,1, ,Nearmap 2023,40.068465014505044,-74.99201945359539
656,Olney Recreation Center,2, ,Nearmap 2023,40.04225061504455,-75.11624629631086
657,Michael Palmer Playground,2, ,2024 September Site Visits,40.09491806937373,-74.98916848313111
658,Michael Palmer Playground,3, ,2024 September Site Visits,40.0950103592048,-74.98899088524915
659,Michael Palmer Playground,4, ,2024 September Site Visits,40.09510376525872,-74.98885980620898
660,Parkside Evans Recreation Center,4, ,Nearmap 2023,39.98398551606914,-75.22653831753478
661,Parkside Evans Recreation Center,6, ,Nearmap 2023,39.98394382194195,-75.22620331999491
662,Parkside Evans Recreation Center,1, ,Nearmap 2023,39.984339581250914,-75.2264433490623
663,Parkside Evans Recreation Center,2, ,Nearmap 2023,39.98430303333875,-75.2262773628223
664,Parkside Evans Recreation Center,3, ,Nearmap 2023,39.98427073226276,-75.22610935896401
665,Parkside Evans Recreation Center,7, ,Nearmap 2023,39.98362193542747,-75.22659087381497
666,Parkside Evans Recreation Center,8, ,Nearmap 2023,39.98361250145172,-75.22642202182715
667,Parkside Evans Recreation Center,9, ,Nearmap 2023,39.98360727256544,-75.2262492948927
668,Penrose Memorial Playground,2, ,Nearmap 2023,39.98589908905177,-75.15135309700443
669,Pepper School Playground,2, ,Nearmap 2023,39.896395151451664,-75.24892981911208
670,Pepper School Playground,3, ,Nearmap 2023,39.89650468392442,-75.24883665623052
671,Pepper School Playground,4, ,Nearmap 2023,39.89661270661435,-75.24873983463735
672,Elizabeth M Picariello Playground,2,Renovated May 2023,2024 September Site Visits,40.079998102333604,-74.98873953628569
673,Boniface Piccoli Playground,1, ,Nearmap 2023,40.012904188604246,-75.09608542538349
674,Boniface Piccoli Playground,3, ,Nearmap 2023,40.01285648251982,-75.09575430631415
675,Pleasant Playground,2, ,Nearmap 2023,40.056984357348526,-75.1828709588639
676,Pleasant Playground,3, ,Nearmap 2023,40.057087786572204,-75.18276280661095
677,Pleasant Playground,4, ,Nearmap 2023,40.05719987365266,-75.18265804919184
678,Reyburn Park,2, ,Nearmap 2023,39.99485628806488,-75.16539492275764
679,Samuel Rose Recreation Center,2, ,Nearmap 2023,39.973516332494206,-75.2604736210169
680,Rufus O Williams Memorial Playground,1, ,Nearmap 2023,39.95032443911094,-75.25001136305362
681,Rufus O Williams Memorial Playground,2, ,Nearmap 2023,39.950297768045594,-75.24983765131162
682,Charles A Russo Playground,3, ,Nearmap 2023,40.02894817881458,-75.0339179841044
